Sample in Buffer,Sample in Window,TRIGGER,axi_spi_top_i/system_ila_4/inst/probe0_1[13:0]
915,915,0,-352
916,916,0,4022
917,917,0,2781
918,918,0,-2208
919,919,0,-4021
920,920,0,-358
921,921,0,4022
922,922,0,2780
923,923,0,-2208
924,924,0,-4020
925,925,0,-355
926,926,0,4025
927,927,0,2780
928,928,0,-2206
929,929,0,-4017
930,930,0,-351
931,931,0,4025
932,932,0,2786
933,933,0,-2210
934,934,0,-4016
935,935,0,-353
936,936,0,4026
937,937,0,2778
938,938,0,-2204
939,939,0,-4022
940,940,0,-353
941,941,0,4030
942,942,0,2784
943,943,0,-2208
944,944,0,-4018
945,945,0,-356
946,946,0,4027
947,947,0,2778
948,948,0,-2213
949,949,0,-4019
950,950,0,-355
951,951,0,4029
952,952,0,2778
953,953,0,-2211
954,954,0,-4019
955,955,0,-350
956,956,0,4028
957,957,0,2782
958,958,0,-2206
959,959,0,-4018
960,960,0,-353
961,961,0,4025
962,962,0,2779
963,963,0,-2212
964,964,0,-4020
965,965,0,-350
966,966,0,4029
967,967,0,2777
968,968,0,-2212
969,969,0,-4019
970,970,0,-356
971,971,0,4021
972,972,0,2778
973,973,0,-2213
974,974,0,-4017
975,975,0,-350
976,976,0,4026
977,977,0,2777
978,978,0,-2208
979,979,0,-4017
980,980,0,-355
981,981,0,4026
982,982,0,2777
983,983,0,-2208
984,984,0,-4019
985,985,0,-347
986,986,0,4026
987,987,0,2780
988,988,0,-2209
989,989,0,-4019
990,990,0,-345
991,991,0,4025
992,992,0,2780
993,993,0,-2213
994,994,0,-4019
995,995,0,-352
996,996,0,4021
997,997,0,2774
998,998,0,-2207
999,999,0,-4018
1000,1000,0,-355
1001,1001,0,4024
1002,1002,0,2772
1003,1003,0,-2210
1004,1004,0,-4023
1005,1005,0,-353
1006,1006,0,4029
1007,1007,0,2778
1008,1008,0,-2213
1009,1009,0,-4018
1010,1010,0,-349
1011,1011,0,4027
1012,1012,0,2783
1013,1013,0,-2212
1014,1014,0,-4022
1015,1015,0,-353
1016,1016,0,4025
1017,1017,0,2774
1018,1018,0,-2209
1019,1019,0,-4016
1020,1020,0,-351
1021,1021,0,4026
1022,1022,0,2777
1023,1023,0,-2212
